ELECTRICACTUATOR	A device that electrically actuates a control element.
THERMOSTAT	A control element that senses and regulates the temperature of an element, system or space so that the temperature is maintained near a desired setpoint.
WEATHERSTATION	A control element that senses multiple climate properties such as temperature, humidity, pressure, wind, and rain.
AIRHANDLER	A unitary air handling unit typically containing a fan, economizer, and coils.
AIRCONDITIONINGUNIT	A unitary packaged air-conditioning unit typically used in residential or light commercial applications.
DEHUMIDIFIER	A unitary packaged dehumidification unit. Note: units supporting multiple modes (dehumidification, cooling, and/or heating) should use AIRCONDITIONINGUNIT.
SPLITSYSTEM	A system which separates the compressor from the evaporator, but acts as a unitary component typically within residential or light commercial applications.
ROOFTOPUNIT	A packaged assembly that is either field-erected or manufactured atop the roof of a large residential or commercial building and acts as a unitary component.
AIRRELEASE	Valve used to release air from a pipe or fitting.
ANTIVACUUM	Valve that opens to admit air if the pressure falls below atmospheric pressure.
CHANGEOVER	Valve that enables flow to be switched between pipelines (3 or 4 port).
CHECK	Valve that permits water to flow in one direction only and is enclosed when there is no flow (2 port).
COMMISSIONING	Valve used to facilitate commissioning of a system (2 port).
DIVERTING	Valve that enables flow to be diverted from one branch of a pipeline to another (3 port).
DRAWOFFCOCK	A valve used to remove fluid from a piping system.
DOUBLECHECK	An assembly that incorporates two valves used to prevent backflow.
DOUBLEREGULATING	Valve used to facilitate regulation of fluid flow in a system.
FAUCET	Faucet valve typically used as a flow discharge.
FLUSHING	Valve that flushes a predetermined quantity of water to cleanse a toilet, urinal, etc.
GASCOCK	Valve that is used for controlling the flow of gas.
GASTAP	Gas tap typically used for venting or discharging gas from a system.
ISOLATING	Valve that closes off flow in a pipeline.
MIXING	Valve that enables flow from two branches of a pipeline to be mixed together (3 port).
PRESSUREREDUCING	Valve that reduces the pressure of a fluid immediately downstream of its position in a pipeline to a preselected value or by a predetermined ratio.
PRESSURERELIEF	Spring or weight loaded valve that automatically discharges to a safe place fluid that has built up to excessive pressure in pipes or fittings.
REGULATING	Valve used to facilitate regulation of fluid flow in a system.
SAFETYCUTOFF	Valve that closes under the action of a safety mechanism such as a drop weight, solenoid etc.
STEAMTRAP	Valve that restricts flow of steam while allowing condensate to pass through.
STOPCOCK	An isolating valve used on a domestic water service.
COMPRESSION	Compression type vibration isolator.
SPRING	Spring type vibration isolator.
